Method,Train Subset,None,GN,GB,MB,JPEG
Xception,T2I,59.52,47.65,15.02,56.59,58.69
F3-Net,T2I,76.08,48.04,74.67,71.68,74.61
EfficientNet,T2I,67.69,40.09,53.62,65.35,54.98
DIRE,T2I,66.28,34.07,32.78,41.36,40.99
Xception,I2I,66.74,19.70,54.09,58.07,63.66
F3-Net,I2I,68.39,21.38,58.77,66.17,63.61
EfficientNet,I2I,57.78,27.76,54.75,52.39,51.01
DIRE,I2I,67.40,35.69,26.63,65.19,65.67
Xception,FS,39.44,35.40,34.82,38.58,37.73
F3-Net,FS,46.64,44.44,37.91,46.39,42.10
EfficientNet,FS,37.29,36.74,23.82,36.12,35.13
DIRE,FS,46.03,25.36,34.00,28.15,32.11
Xception,FE,82.69,39.69,24.15,79.35,81.19
F3-Net,FE,78.84,50.17,25.51,38.76,70.31
EfficientNet,FE,77.33,51.95,39.65,71.10,71.14
DIRE,FE,64.89,35.42,55.59,60.08,53.08
