Backbone,+EGR,Train Subset,T2I,I2I,FS,FE
Xception,×,T2I,93.32,86.85,34.65,23.28
Xception,✓,T2I,95.57,89.48,43.74,55.50
F3-Net,×,T2I,99.60,88.50,45.07,71.06
F3-Net,✓,T2I,99.64,93.30,56.34,79.89
EfficientNet,×,T2I,99.89,89.72,21.49,49.63
EfficientNet,✓,T2I,99.93,97.89,40.86,52.36
DIRE,×,T2I,95.04,84.07,35.15,50.86
DIRE,✓,T2I,99.79,99.76,43.59,66.41
Xception,×,I2I,87.82,98.92,36.82,33.39
Xception,✓,I2I,99.00,99.94,49.73,33.81
F3-Net,×,I2I,87.23,99.50,40.62,46.19
F3-Net,✓,I2I,96.85,99.70,48.69,47.66
EfficientNet,×,I2I,84.39,99.80,19.47,27.46
EfficientNet,✓,I2I,99.77,99.99,56.69,61.04
DIRE,×,I2I,86.20,99.88,41.51,42.01
DIRE,✓,I2I,97.65,99.99,51.84,58.68
Xception,×,FS,23.17,24.47,99.95,10.17
Xception,✓,FS,67.41,55.92,99.98,46.01
F3-Net,×,FS,35.43,30.39,99.98,20.79
F3-Net,✓,FS,63.51,63.75,99.99,31.14
EfficientNet,×,FS,16.88,22.17,99.87,10.21
EfficientNet,✓,FS,64.16,67.92,99.99,22.01
DIRE,×,FS,16.08,36.27,99.09,32.68
DIRE,✓,FS,66.21,70.91,99.99,35.45
Xception,×,FE,80.84,79.12,70.81,99.95
Xception,✓,FE,94.15,84.04,73.09,99.99
F3-Net,×,FE,82.32,76.92,56.27,99.60
F3-Net,✓,FE,97.91,93.46,79.33,99.61
EfficientNet,×,FE,80.41,63.06,66.62,99.24
EfficientNet,✓,FE,96.50,89.97,73.28,99.99
DIRE,×,FE,56.70,59.22,43.78,99.87
DIRE,✓,FE,81.40,76.40,74.23,99.99
